video_id,source_video_id,video_path,frames_dir,class_name,label,split,num_frames,image_size,fraction,model_name,pred_label,pred_class,true_class_confidence,confidence_vector
Biking_v_Biking_g01_c01_bb209968__p075,Biking_v_Biking_g01_c01_bb209968,/Users/antoine/Documents/UQAC/Hiver/Vjepa/data/UCF101/Biking/v_Biking_g01_c01.avi,/Users/antoine/Documents/UQAC/Hiver/Vjepa/experiments/vjepa_vs_videomae/outputs/cache/temporal_progression/frames/Biking_v_Biking_g01_c01_bb209968__p075,Biking,2,test,16,224,0.75,vjepa,2,Biking,0.9517619609832764,"[0.0013142733369022608, 0.001526667270809412, 0.9517619609832764, 0.0004557664506137371, 0.04494135454297066]"
Biking_v_Biking_g01_c01_bb209968__p100,Biking_v_Biking_g01_c01_bb209968,/Users/antoine/Documents/UQAC/Hiver/Vjepa/data/UCF101/Biking/v_Biking_g01_c01.avi,/Users/antoine/Documents/UQAC/Hiver/Vjepa/experiments/vjepa_vs_videomae/outputs/cache/temporal_progression/frames/Biking_v_Biking_g01_c01_bb209968__p100,Biking,2,test,16,224,1.0,vjepa,2,Biking,0.9881353378295898,"[0.0001655077066970989, 0.000539153756108135, 0.9881353378295898, 0.00010124406253453344, 0.011058845557272434]"
ApplyEyeMakeup_v_ApplyEyeMakeup_g01_c01_a95532e8__p025,ApplyEyeMakeup_v_ApplyEyeMakeup_g01_c01_a95532e8,/Users/antoine/Documents/UQAC/Hiver/Vjepa/data/UCF101/ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c01.avi,/Users/antoine/Documents/UQAC/Hiver/Vjepa/experiments/vjepa_vs_videomae/outputs/cache/temporal_progression/frames/ApplyEyeMakeup_v_ApplyEyeMakeup_g01_c01_a95532e8__p025,ApplyEyeMakeup,0,test,16,224,0.25,videomae,0,ApplyEyeMakeup,0.9910945892333984,"[0.9910945892333984, 0.007018515840172768, 4.0859631553757936e-06, 0.0008376412442885339, 0.0010450644185766578]"
ApplyEyeMakeup_v_ApplyEyeMakeup_g01_c01_a95532e8__p050,ApplyEyeMakeup_v_ApplyEyeMakeup_g01_c01_a95532e8,/Users/antoine/Documents/UQAC/Hiver/Vjepa/data/UCF101/ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c01.avi,/Users/antoine/Documents/UQAC/Hiver/Vjepa/experiments/vjepa_vs_videomae/outputs/cache/temporal_progression/frames/ApplyEyeMakeup_v_ApplyEyeMakeup_g01_c01_a95532e8__p050,ApplyEyeMakeup,0,test,16,224,0.5,videomae,0,ApplyEyeMakeup,0.9899669885635376,"[0.9899669885635376, 0.005895331036299467, 1.085330131900264e-05, 0.0007806102512404323, 0.0033461558632552624]"
ApplyEyeMakeup_v_ApplyEyeMakeup_g01_c01_a95532e8__p075,ApplyEyeMakeup_v_ApplyEyeMakeup_g01_c01_a95532e8,/Users/antoine/Documents/UQAC/Hiver/Vjepa/data/UCF101/ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c01.avi,/Users/antoine/Documents/UQAC/Hiver/Vjepa/experiments/vjepa_vs_videomae/outputs/cache/temporal_progression/frames/ApplyEyeMakeup_v_ApplyEyeMakeup_g01_c01_a95532e8__p075,ApplyEyeMakeup,0,test,16,224,0.75,videomae,0,ApplyEyeMakeup,0.9860303401947021,"[0.9860303401947021, 0.010566139593720436, 8.590783545514569e-05, 0.00016948010306805372, 0.0031480095349252224]"
ApplyEyeMakeup_v_ApplyEyeMakeup_g01_c01_a95532e8__p100,ApplyEyeMakeup_v_ApplyEyeMakeup_g01_c01_a95532e8,/Users/antoine/Documents/UQAC/Hiver/Vjepa/data/UCF101/ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c01.avi,/Users/antoine/Documents/UQAC/Hiver/Vjepa/experiments/vjepa_vs_videomae/outputs/cache/temporal_progression/frames/ApplyEyeMakeup_v_ApplyEyeMakeup_g01_c01_a95532e8__p100,ApplyEyeMakeup,0,test,16,224,1.0,videomae,0,ApplyEyeMakeup,0.9851559400558472,"[0.9851559400558472, 0.011695429682731628, 8.32316727610305e-05, 0.00020841910736635327, 0.0028568808920681477]"
Basketball_v_Basketball_g01_c01_f517f117__p025,Basketball_v_Basketball_g01_c01_f517f117,/Users/antoine/Documents/UQAC/Hiver/Vjepa/data/UCF101/Basketball/v_Basketball_g01_c01.avi,/Users/antoine/Documents/UQAC/Hiver/Vjepa/experiments/vjepa_vs_videomae/outputs/cache/temporal_progression/frames/Basketball_v_Basketball_g01_c01_f517f117__p025,Basketball,1,test,16,224,0.25,videomae,1,Basketball,0.9874584674835205,"[0.009168971329927444, 0.9874584674835205, 1.4564983757736627e-05, 0.0029735229909420013, 0.00038439221680164337]"
Basketball_v_Basketball_g01_c01_f517f117__p050,Basketball_v_Basketball_g01_c01_f517f117,/Users/antoine/Documents/UQAC/Hiver/Vjepa/data/UCF101/Basketball/v_Basketball_g01_c01.avi,/Users/antoine/Documents/UQAC/Hiver/Vjepa/experiments/vjepa_vs_videomae/outputs/cache/temporal_progression/frames/Basketball_v_Basketball_g01_c01_f517f117__p050,Basketball,1,test,16,224,0.5,videomae,1,Basketball,0.9871861338615417,"[0.009692815132439137, 0.9871861338615417, 1.3702760043088347e-05, 0.002654115902259946, 0.0004533264727797359]"
Basketball_v_Basketball_g01_c01_f517f117__p075,Basketball_v_Basketball_g01_c01_f517f117,/Users/antoine/Documents/UQAC/Hiver/Vjepa/data/UCF101/Basketball/v_Basketball_g01_c01.avi,/Users/antoine/Documents/UQAC/Hiver/Vjepa/experiments/vjepa_vs_videomae/outputs/cache/temporal_progression/frames/Basketball_v_Basketball_g01_c01_f517f117__p075,Basketball,1,test,16,224,0.75,videomae,1,Basketball,0.9953523874282837,"[0.0030352985486388206, 0.9953523874282837, 1.0774621841846965e-05, 0.0012004843447357416, 0.000401102879550308]"
Basketball_v_Basketball_g01_c01_f517f117__p100,Basketball_v_Basketball_g01_c01_f517f117,/Users/antoine/Documents/UQAC/Hiver/Vjepa/data/UCF101/Basketball/v_Basketball_g01_c01.avi,/Users/antoine/Documents/UQAC/Hiver/Vjepa/experiments/vjepa_vs_videomae/outputs/cache/temporal_progression/frames/Basketball_v_Basketball_g01_c01_f517f117__p100,Basketball,1,test,16,224,1.0,videomae,1,Basketball,0.9947845339775085,"[0.003434891114011407, 0.9947845339775085, 1.4952242963772733e-05, 0.001376275671645999, 0.00038933681207709014]"
Biking_v_Biking_g01_c01_bb209968__p025,Biking_v_Biking_g01_c01_bb209968,/Users/antoine/Documents/UQAC/Hiver/Vjepa/data/UCF101/Biking/v_Biking_g01_c01.avi,/Users/antoine/Documents/UQAC/Hiver/Vjepa/experiments/vjepa_vs_videomae/outputs/cache/temporal_progression/frames/Biking_v_Biking_g01_c01_bb209968__p025,Biking,2,test,16,224,0.25,videomae,3,Diving,0.0008072316995821893,"[0.0009909021900966763, 0.10358670353889465, 0.0008072316995821893, 0.6546033024787903, 0.24001184105873108]"
Biking_v_Biking_g01_c01_bb209968__p050,Biking_v_Biking_g01_c01_bb209968,/Users/antoine/Documents/UQAC/Hiver/Vjepa/data/UCF101/Biking/v_Biking_g01_c01.avi,/Users/antoine/Documents/UQAC/Hiver/Vjepa/experiments/vjepa_vs_videomae/outputs/cache/temporal_progression/frames/Biking_v_Biking_g01_c01_bb209968__p050,Biking,2,test,16,224,0.5,videomae,4,WalkingWithDog,1.0560700502537657e-05,"[7.489832933060825e-05, 4.1609986510593444e-05, 1.0560700502537657e-05, 0.05764677748084068, 0.9422261118888855]"
Biking_v_Biking_g01_c01_bb209968__p075,Biking_v_Biking_g01_c01_bb209968,/Users/antoine/Documents/UQAC/Hiver/Vjepa/data/UCF101/Biking/v_Biking_g01_c01.avi,/Users/antoine/Documents/UQAC/Hiver/Vjepa/experiments/vjepa_vs_videomae/outputs/cache/temporal_progression/frames/Biking_v_Biking_g01_c01_bb209968__p075,Biking,2,test,16,224,0.75,videomae,4,WalkingWithDog,0.00111866625957191,"[6.968538946239278e-05, 0.0023053381592035294, 0.00111866625957191, 0.00032799021573737264, 0.9961782693862915]"
Biking_v_Biking_g01_c01_bb209968__p100,Biking_v_Biking_g01_c01_bb209968,/Users/antoine/Documents/UQAC/Hiver/Vjepa/data/UCF101/Biking/v_Biking_g01_c01.avi,/Users/antoine/Documents/UQAC/Hiver/Vjepa/experiments/vjepa_vs_videomae/outputs/cache/temporal_progression/frames/Biking_v_Biking_g01_c01_bb209968__p100,Biking,2,test,16,224,1.0,videomae,4,WalkingWithDog,0.22577500343322754,"[0.00020827350090257823, 0.003069547936320305, 0.22577500343322754, 0.0006319762323983014, 0.7703152298927307]"
